date_SC,trial,channel,degree_min,temp_pulled,batch_parasitoid,date_check_3day,discolor_3day,movement_3day,cocoon,stage_l_p_w_3day,date_adult,date_fungus,date_check_7day,discolor_7day,movement_7day,stage_l_p_w_7day,note,est_scp,eclose
1.3.19,e,3,1,-16,20,25.2.19,N,N,Y,L,.,.,.,.,.,,.,.,N
1.3.19,e,4,1,-4,20,25.2.19,Y,N,N,L,.,.,18.3.19,Y,N,.,.,.,N
1.3.19,e,5,1,-14,20,25.2.19,N,N,Y,L,.,.,5.4.19,N,N,W,.,.,Y
1.3.19,e,7,1,-18,20,25.2.19,N,N,Y,L,.,.,5.4.19,N,N,W,.,.,N
1.3.19,e,8,1,0,20,25.2.19,N,N,Y,L,.,.,5.4.19,N,N,p,.,.,N
1.3.19,e,9,1,-8,20,25.2.19,N,N,N,L,.,.,18.3.19,Y,N,.,.,.,N
1.3.19,e,10,1,-20,20,25.2.19,N,N,Y,L,.,.,.,.,.,,.,.,N
1.3.19,e,11,1,-2,20,25.2.19,N,Y,,,.,.,.,.,.,.,.,.,N
1.3.19,e,13,1,-12,20,25.2.19,N,N,Y,L,.,.,5.4.19,DRY,N,L,.,.,N
1.3.19,e,14,1,-6,20,25.2.19,N,Y,N,L,.,.,18.3.19,Y,N,.,.,.,N
1.3.19,e,15,1,-10,20,25.2.19,N,N,Y,L,.,.,.,.,.,.,.,.,N
1.3.19,e,c1,1,.,20,25.2.19,N,N,Y,L,.,.,5.4.19,DRY,N,P,.,.,Y
1.3.19,e,c2,1,.,20,25.2.19,N,N,Y,L,.,.,.,.,.,.,.,.,N
1.3.19,e,c3,1,.,20,25.2.13,N,Y,Y,L,.,.,.,.,.,.,.,.,N
11.7.19,b,3,0.1,-24,.,16.7.19,N,.,.,.,.,.,.,.,.,.,.,.,N
11.7.19,b,4,0.1,-22,.,16.7.19,N,.,.,.,.,.,.,.,.,.,.,.,N
11.7.19,b,5,0.1,-28,.,16.7.19,N,.,.,.,.,.,.,.,.,.,.,-27,N
11.7.19,b,7,0.1,-28,.,16.7.19,N,.,.,.,.,.,.,.,.,.,.,-26,N
11.7.19,b,9,0.1,-28,.,16.7.19,N,.,.,.,.,.,.,.,.,.,.,-24.5,N
11.7.19,b,10,0.1,-28,.,16.7.19,N,.,.,.,.,.,.,.,.,.,.,-27,N
11.7.19,b,13,0.1,-28,.,16.7.19,N,.,.,.,.,.,.,.,.,.,.,-22.5,N
11.7.19,b,14,0.1,-28,.,16.7.19,N,.,.,.,.,.,.,.,.,.,.,-21,N
11.7.19,b,15,0.1,-26,.,16.7.19,N,.,.,.,.,.,.,.,.,.,.,-22.5,N
11.7.19,b,c1,0.1,.,.,16.7.19,N,.,.,.,.,.,.,.,.,.,.,.,Y
11.7.19,b,c2,0.1,.,.,16.7.19,N,.,.,.,.,.,.,.,.,.,.,.,N
11.7.19,b,c3,0.1,.,.,16.7.19,N,.,.,.,.,.,.,.,.,.,.,.,N
12.3.19,c,3,0.5,-16,A,20.3.19,N,N,N,P,.,.,5.4.19,N,N,W,.,.,N
12.3.19,c,4,0.5,-20,A,20.3.19,N,N,YR,P,.,27.3.19,.,.,.,.,.,.,N
12.3.19,c,5,0.5,-14,A,20.3.19,N,N,N,W,.,27.3.19,.,.,.,.,.,.,N
12.3.19,c,7,0.5,-2,A,20.3.19,N,N,YR,W,26.3.19,.,.,.,.,.,.,.,Y
12.3.19,c,8,0.5,-10,A,20.3.19,N,N,Y,W,.,5.4.19,5.4.19,N,N,W,.,.,N
12.3.19,c,9,0.5,-18,A,20.3.19,N,N,N,L,.,.,5.4.19,DRY,N,L,.,.,N
12.3.19,c,10,0.5,-4,A,18.3.19,Y,N,N,L,.,.,.,.,.,.,.,.,N
12.3.19,c,11,0.5,-6,A,20.3.19,Y,N,N,L,.,.,.,.,.,.,.,.,N
12.3.19,c,13,0.5,0,A,18.3.19,Y,N,Y,L,.,.,.,.,.,.,.,.,N
12.3.19,c,14,0.5,-8,A,18.3.19,N,N,N,L,.,.,.,.,.,.,.,.,N
12.3.19,c,15,0.5,-12,A,20.3.19,N,N,Y,W,5.4.19,.,.,.,.,.,ADULT IN COCOON,.,Y
12.3.19,c,c1,0.5,.,A,20.3.19,N,N,Y,P,.,.,5.4.19,N,N,W,.,.,Y
