date_SC,trial,channel,degree_min,temp_pulled,discolor_3day,est_scp,eclose,temp_pulled_grouped,uid,trial_id,degree_min_continuous
3/1/2019,e,3,1,-16,1,NA,0,-16,1,2019-03-01e,1
3/1/2019,e,4,1,-4,0,NA,0,-4,2,2019-03-01e,1
3/1/2019,e,5,1,-14,1,NA,1,-14,3,2019-03-01e,1
3/1/2019,e,7,1,-18,1,NA,0,-18,4,2019-03-01e,1
3/1/2019,e,8,1,0,1,NA,0,0,5,2019-03-01e,1
3/1/2019,e,9,1,-8,1,NA,0,-8,6,2019-03-01e,1
3/1/2019,e,10,1,-20,1,NA,0,-20,7,2019-03-01e,1
3/1/2019,e,11,1,-2,1,NA,0,-2,8,2019-03-01e,1
3/1/2019,e,13,1,-12,1,NA,0,-12,9,2019-03-01e,1
3/1/2019,e,14,1,-6,1,NA,0,-6,10,2019-03-01e,1
3/1/2019,e,15,1,-10,1,NA,0,-10,11,2019-03-01e,1
3/1/2019,e,control,1,NA,1,NA,1,NA,12,2019-03-01e,1
3/1/2019,e,control,1,NA,1,NA,0,NA,13,2019-03-01e,1
3/1/2019,e,control,1,NA,1,NA,0,NA,14,2019-03-01e,1
7/11/2019,b,3,0.1,-24,1,NA,0,-24,15,2019-07-11b,0.1
7/11/2019,b,4,0.1,-22,1,NA,0,-22,16,2019-07-11b,0.1
7/11/2019,b,5,0.1,-28,1,-27,0,-28,17,2019-07-11b,0.1
7/11/2019,b,7,0.1,-28,1,-26,0,-28,18,2019-07-11b,0.1
7/11/2019,b,9,0.1,-28,1,-24.5,0,-28,19,2019-07-11b,0.1
7/11/2019,b,10,0.1,-28,1,-27,0,-28,20,2019-07-11b,0.1
7/11/2019,b,13,0.1,-28,1,-22.5,0,-28,21,2019-07-11b,0.1
7/11/2019,b,14,0.1,-28,1,-21,0,-28,22,2019-07-11b,0.1
7/11/2019,b,15,0.1,-26,1,-22.5,0,-26,23,2019-07-11b,0.1
7/11/2019,b,control,0.1,NA,1,NA,1,NA,24,2019-07-11b,0.1
7/11/2019,b,control,0.1,NA,1,NA,0,NA,25,2019-07-11b,0.1
7/11/2019,b,control,0.1,NA,1,NA,0,NA,26,2019-07-11b,0.1
3/12/2019,c,3,0.5,-16,1,NA,0,-16,27,2019-03-12c,0.5
3/12/2019,c,4,0.5,-20,1,NA,0,-20,28,2019-03-12c,0.5
3/12/2019,c,5,0.5,-14,1,NA,0,-14,29,2019-03-12c,0.5
3/12/2019,c,7,0.5,-2,1,NA,1,-2,30,2019-03-12c,0.5
3/12/2019,c,8,0.5,-10,1,NA,0,-10,31,2019-03-12c,0.5
3/12/2019,c,9,0.5,-18,1,NA,0,-18,32,2019-03-12c,0.5
3/12/2019,c,10,0.5,-4,0,NA,0,-4,33,2019-03-12c,0.5
3/12/2019,c,11,0.5,-6,0,NA,0,-6,34,2019-03-12c,0.5
3/12/2019,c,13,0.5,0,0,NA,0,0,35,2019-03-12c,0.5
3/12/2019,c,14,0.5,-8,1,NA,0,-8,36,2019-03-12c,0.5
3/12/2019,c,15,0.5,-12,1,NA,1,-12,37,2019-03-12c,0.5
3/12/2019,c,control,0.5,NA,1,NA,1,NA,38,2019-03-12c,0.5
3/12/2019,c,control,0.5,NA,1,NA,1,NA,39,2019-03-12c,0.5
3/12/2019,f,3,0.1,-30,0,-25.4,0,-30,40,2019-03-12f,0.1
3/12/2019,f,4,0.1,-33,0,-26.2,0,-32,41,2019-03-12f,0.1
3/12/2019,f,5,0.1,-26,0,-25.6,0,-26,42,2019-03-12f,0.1
3/12/2019,f,7,0.1,-32.5,0,-25,0,-32,43,2019-03-12f,0.1
3/12/2019,f,8,0.1,-28,1,-25.5,0,-28,44,2019-03-12f,0.1
3/12/2019,f,9,0.1,-32,0,-25.9,0,-32,45,2019-03-12f,0.1
3/12/2019,f,10,0.1,-22,1,NA,1,-22,46,2019-03-12f,0.1
3/12/2019,f,11,0.1,-33,1,-26.7,0,-32,47,2019-03-12f,0.1
3/12/2019,f,13,0.1,-24,1,NA,0,-24,48,2019-03-12f,0.1
